City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,Nioro,13.35,-15.75,76.5,93,100,4.99,GM,2021-08-05 02:28:45
249,Drumheller,51.4617,-112.7101,73.26,88,9,5.75,CA,2021-08-05 02:28:46
250,Alta,69.9689,23.2717,49.24,85,99,7.11,NO,2021-08-05 02:28:46
251,Mariana,-20.3778,-43.4161,54.09,92,88,2.21,BR,2021-08-05 02:28:46
252,Yatou,37.15,122.3833,84.31,69,1,10.49,CN,2021-08-05 02:28:46
253,Vila Velha,-20.3297,-40.2925,67.95,83,75,10.36,BR,2021-08-05 02:28:47
254,Urusha,54.05,122.9,59.36,98,100,2.95,RU,2021-08-05 02:28:47
255,Malkangiri,18.35,81.9,78.53,87,93,4.18,IN,2021-08-05 02:28:47
256,San Quintin,30.4833,-115.95,70.29,79,5,16.55,MX,2021-08-05 02:28:47
257,Savinka,50.0785,47.0994,67.48,72,89,7.63,RU,2021-08-05 02:28:47
258,Grants,35.1473,-107.8514,71.83,35,1,4.61,US,2021-08-05 02:28:48
259,Taunggyi,20.7833,97.0333,64.35,96,100,3.13,MM,2021-08-05 02:28:48
260,Muhos,64.808,25.9931,51.58,80,100,5.08,FI,2021-08-05 02:28:48
261,Bandarbeyla,9.4942,50.8122,78.06,72,39,25.72,SO,2021-08-05 02:24:26
262,Necochea,-38.5473,-58.7368,48.04,70,0,10.13,AR,2021-08-05 02:28:48
263,Caucaia,-3.7361,-38.6531,80.55,77,75,11.5,BR,2021-08-05 02:28:49
264,Atambua,-9.1061,124.8925,83.19,51,12,5.01,ID,2021-08-05 02:28:49
265,Becerril,9.7041,-73.2793,77.49,78,79,4.79,CO,2021-08-05 02:28:49
266,Soyo,-6.1349,12.3689,71.67,89,15,5.79,AO,2021-08-05 02:28:49
267,Denpasar,-8.65,115.2167,82.06,83,40,14.97,ID,2021-08-05 02:25:04
268,San Patricio,28.017,-97.5169,84.92,73,93,7.27,US,2021-08-05 02:28:50
269,Wilmington,34.2257,-77.9447,71.94,96,90,6.91,US,2021-08-05 02:28:50
