City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Discription
357,Ahipara,NZ,-35.1667,173.1667,48.9,79,98,17.63,light rain
358,Tres Arroyos,AR,-38.3739,-60.2798,50.65,45,100,8.32,overcast clouds
359,Zhanaozen,KZ,43.3,52.8,106.93,8,2,7.38,clear sky
360,Evensk,RU,61.95,159.2333,55.62,66,88,11.23,overcast clouds
361,Guiratinga,BR,-16.3494,-53.7583,84.31,28,0,13.0,clear sky
362,Tirumullaivasal,IN,11.2333,79.8333,86.09,69,88,16.78,overcast clouds
363,Clyde River,CA,70.4692,-68.5914,50.23,66,40,3.44,scattered clouds
364,Aksu,CN,41.1231,80.2644,83.97,30,45,9.22,scattered clouds
365,Hokitika,NZ,-42.7167,170.9667,37.6,77,100,9.15,overcast clouds
366,Svetlaya,RU,46.5389,138.3297,58.55,91,100,15.68,overcast clouds
367,Chokurdakh,RU,70.6333,147.9167,53.56,56,100,8.1,overcast clouds
368,Tromso,NO,69.6496,18.957,75.85,35,0,3.44,clear sky
369,Half Moon Bay,US,37.4636,-122.4286,62.91,91,40,1.01,scattered clouds
370,Jamame,SO,0.0722,42.7506,80.15,66,97,17.22,overcast clouds
371,Nortelandia,BR,-14.4547,-56.8028,90.05,28,6,10.22,clear sky
372,Edd,ER,13.9297,41.6925,92.71,60,100,10.27,overcast clouds
373,Buin,CL,-33.7333,-70.75,50.32,86,96,3.33,overcast clouds
374,Matara,LK,5.9485,80.5353,77.38,90,100,10.83,overcast clouds
375,Kajaani,FI,64.2273,27.7285,60.85,88,90,12.66,overcast clouds
376,Prince Rupert,CA,54.3161,-130.3201,56.89,94,90,5.75,overcast clouds
377,Ludza,LV,56.55,27.7167,75.58,48,100,8.23,overcast clouds
378,Yarada,IN,17.65,83.2667,86.32,84,75,8.05,broken clouds
379,Quatre Cocos,MU,-20.2078,57.7625,70.09,87,89,19.75,moderate rain
380,Lae,PG,-6.7221,146.9847,75.36,87,87,1.1,overcast clouds
381,Aasiaat,GL,68.7098,-52.8699,40.1,93,100,16.08,overcast clouds
382,Pokrovka,KG,42.3414,78.0056,65.89,44,7,1.9,clear sky
383,Port Macquarie,AU,-31.4333,152.9167,51.76,63,92,5.39,overcast clouds
384,Buala,SB,-8.145,159.5921,78.42,80,96,0.29,overcast clouds
385,Ayan,RU,56.45,138.1667,53.65,66,70,7.78,broken clouds
386,Impfondo,CG,1.6381,18.0667,92.32,37,69,1.99,broken clouds
387,Lins,BR,-21.6786,-49.7425,79.72,33,0,10.38,clear sky
388,Port Hardy,CA,50.6996,-127.4199,59.18,88,90,4.61,overcast clouds
389,Touros,BR,-5.1989,-35.4608,79.7,64,55,20.47,broken clouds
390,Yenagoa,NG,4.9247,6.2642,79.38,76,99,10.0,light rain
391,Umm Lajj,SA,25.0213,37.2685,96.03,40,0,9.4,clear sky
392,San Cristobal,VE,7.7669,-72.225,69.98,58,100,0.18,overcast clouds
393,Safaga,EG,26.7292,33.9365,102.15,55,0,5.32,clear sky
394,Cornatelu,RO,44.75,25.6667,94.87,20,4,5.77,clear sky
395,Imuris,MX,30.7833,-110.8667,74.52,71,100,1.79,overcast clouds
396,Nyurba,RU,63.2842,118.3319,62.22,97,100,2.06,light rain
397,El Dorado,US,38.7666,-120.5177,75.22,34,0,1.99,clear sky
398,Whitehorse,CA,60.7161,-135.0538,53.02,87,75,4.61,broken clouds
399,Basco,PH,20.4487,121.9702,83.91,87,100,21.74,overcast clouds
400,Mawlaik,MM,23.6333,94.4167,79.41,96,100,2.17,overcast clouds
401,Halifax,CA,44.6453,-63.5724,73.53,85,100,2.3,overcast clouds
402,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,57,10.78,broken clouds
